cutoff,randcounts,truecounts,FDR
0.795,583.25,5336,0.109304722638681
0.8,516.55,4902,0.105375356997144
0.805,459.9,4536,0.101388888888889
0.81,407.8,4161,0.0980052871905792
0.815,359.05,3800,0.0944868421052632
0.82,319,3481,0.0916403332375754
0.825,280.3,3198,0.0876485303314572
0.83,242.4,2876,0.0842837273991655
0.835,209,2607,0.080168776371308
0.84,179.85,2335,0.0770235546038544
0.845,153.8,2103,0.073133618640038
0.85,131.8,1909,0.0690413829229963
0.855,111,1710,0.0649122807017544
0.86,90.75,1508,0.0601790450928382
0.865,75.25,1331,0.0565364387678437
0.87,61.7,1186,0.0520236087689713
0.875,50.75,1050,0.0483333333333333
0.88,40.7,934,0.043576017130621
0.885,33,833,0.0396158463385354
0.89,26.3,720,0.0365277777777778
0.895,20.9,626,0.0333865814696486
0.9,16.05,535,0.03
0.905,12.2,450,0.0271111111111111
0.91,8.4,379,0.0221635883905013
0.915,5.85,327,0.0178899082568807
0.92,4.1,261,0.0157088122605364
0.925,2.9,220,0.0131818181818182
0.93,2,190,0.0105263157894737
0.935,1.35,159,0.00849056603773585
0.94,0.65,133,0.00488721804511278
0.945,0.3,109,0.00275229357798165
0.95,0.2,93,0.0021505376344086
0.955,0,86,0
0.96,0,75,0
0.965,0,62,0
0.97,0,54,0
0.975,0,50,0
0.98,0,41,0
0.985,0,36,0
0.99,0,34,0
0.995,0,32,0
